19.03,250,,Amount of lessons:,74,
24.03,250,,Total:,22205,
27.04,250,,,,
4.04,846,,,,
7.04,,,,,
11.04,,,,,
15.04,846,,,,
18.04,,,,,
22.04,,,,,
25.04,72,330,,,
29.04,252,,,,
2.05,252,,,,
9.05,252,,,,
13.05,252,,,,
17.04,252,,,,
20.04,252,,,,
23.04,252,,,,
27.05,252,,,,
30.05,252,,,,
7.06,252,,,,
14.06,252,,,,
16.06,252,,,,
24.06,252,,,,
27.06,252,,,,
30.06,252,,,,
5.07,252,,,,
9.07,252,,,,
12.07,252,,,,
17.07,252,,,,
19.07,252,,,,
20.07,,,,,
26.07,252,,,,
29.07,252,,,,
2.08,252,,,,
8.08,252,,,,
12.08,252,,,,
20.08,252,,,,
26.08,252,3024,,,
29.08,252,,,,
2.09,252,,,,
5.09,252,,,,
12.09,252,,,,
14.09,252,,,,
16.09,252,,,,
19.09,252,,,,
22.09,252,,,,
26.09,252,,,,
1.10,252,,,,
4.10,252,,,,
6.10,289,,,,
10.10,289,,,,
13.10,289,,,,
18.10,289,,,,
20.10,289,,,,
24.10,289,1156,,,
27.10,289,,,,
31.10,289,,,,
8.11,289,,,,
10.11,289,,,,
14.11,289,1589.5,,,
17.11,289,,,,
22.11,289,,,,
24.11,289,,,,
29.11,289,,,,
1.12,289,,,,
11.12,289,,,,
15.12,289,,,,
20.12,289,,,,
24.12,289,,,,
26.12,289,2023,,,
29.12,289,,,,
3.01,289,,,,
5.01,289,,,,
10.01,289,,,,
13.01,289,,,,
18.01,289,,,,
21.01,289,2023,,,
23.01,289,,,,
3.02,289,,,,
14.02,289,,,,
17.02,289,,,,
28.02,289,,,,
4.03,289,,,,
6.03,289,2023,,,
